trial_id,method,step,r_squared,entropy,violations,tq
56,epistemic,4,0.592145,0.407855,0,1.0000
56,epistemic,5,0.592113,0.407887,0,1.0000
56,epistemic,6,0.605007,0.394993,0,1.0000
56,epistemic,7,0.608651,0.391349,0,0.4865
57,epistemic,0,0.225714,0.774286,0,1.0000
57,epistemic,1,0.268554,0.731446,0,1.0000
57,epistemic,2,0.438946,0.561054,0,1.0000
57,epistemic,3,0.481266,0.518734,0,1.0000
57,epistemic,4,0.552670,0.447330,0,1.0000
57,epistemic,5,0.552887,0.447113,0,1.0000
57,epistemic,6,0.569093,0.430907,0,1.0000
57,epistemic,7,0.565932,0.434068,0,0.4865
58,epistemic,0,0.259655,0.740345,0,1.0000
58,epistemic,1,0.312136,0.687864,0,1.0000
58,epistemic,2,0.409289,0.590711,0,1.0000
58,epistemic,3,0.468591,0.531409,0,1.0000
58,epistemic,4,0.563733,0.436267,0,1.0000
58,epistemic,5,0.563635,0.436365,0,1.0000
58,epistemic,6,0.600935,0.399065,0,1.0000
58,epistemic,7,0.603480,0.396520,0,0.4865
59,epistemic,0,0.116899,0.883101,0,1.0000
59,epistemic,1,0.202732,0.797268,0,1.0000
59,epistemic,2,0.300933,0.699067,0,1.0000
59,epistemic,3,0.369975,0.630025,0,1.0000
59,epistemic,4,0.495167,0.504833,0,1.0000
59,epistemic,5,0.490348,0.509652,0,1.0000
59,epistemic,6,0.553692,0.446308,0,1.0000
59,epistemic,7,0.557569,0.442431,0,0.4865
60,epistemic,0,0.290113,0.709887,0,1.0000
60,epistemic,1,0.362589,0.637411,0,1.0000
60,epistemic,2,0.440580,0.559420,0,1.0000
60,epistemic,3,0.442950,0.557050,0,1.0000
60,epistemic,4,0.529576,0.470424,0,1.0000
60,epistemic,5,0.529547,0.470453,0,1.0000
60,epistemic,6,0.584709,0.415291,0,1.0000
60,epistemic,7,0.586244,0.413756,0,0.4865
61,epistemic,0,0.291036,0.708964,0,1.0000
61,epistemic,1,0.355820,0.644180,0,1.0000
61,epistemic,2,0.494485,0.505515,0,1.0000
61,epistemic,3,0.532562,0.467438,0,1.0000
61,epistemic,4,0.598734,0.401266,0,1.0000
61,epistemic,5,0.598521,0.401479,0,1.0000
61,epistemic,6,0.604845,0.395155,0,1.0000
61,epistemic,7,0.606829,0.393171,0,0.4865
62,epistemic,0,0.283581,0.716419,0,1.0000
62,epistemic,1,0.314652,0.685348,0,1.0000
62,epistemic,2,0.459055,0.540945,0,1.0000
62,epistemic,3,0.527042,0.472958,0,1.0000
62,epistemic,4,0.620493,0.379507,0,1.0000
62,epistemic,5,0.620204,0.379796,0,1.0000
